城市,省份,板块,维度,状态,条件说明,来源名称/链接,来源日期
北京,北京市,贷款,单双职工额度差异,支持,,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/744089337/index.shtml,政府网站
北京,北京市,贷款,首套二套额度差异,支持,首套最高120万，二套最高60万,https://gjj.beijing.gov.cn/web/zwgk61/gjjndbb/743577008/index.html,政府网站
北京,北京市,贷款,绿色建筑上浮,支持,购买二星级及以上绿色建筑贷款额度上浮（如+40万）,https://gjj.beijing.gov.cn/web/zwgk61/gjjndbb/743577008/index.html,政府网站
北京,北京市,贷款,二孩家庭上浮,支持,二孩家庭最高贷款额度上浮至160万,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/744089337/index.shtml,政府网站
北京,北京市,贷款,三孩家庭上浮,支持,三孩家庭最高贷款额度进一步上浮,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/744089337/index.shtml,政府网站
北京,北京市,贷款,人才青年上浮,未检索到,未检索到公开来源,,空
北京,北京市,贷款,家庭共享额度代际互助,未检索到,未检索到公开来源,,空
北京,北京市,贷款,商转公,不支持,,https://gjj.beijing.gov.cn/web/zwfw5/1747335/1747338/743726795/index.html,政府网站
北京,北京市,贷款,最长贷龄30年,支持,最长30年，且不超过借款人法定退休年龄后5年,https://www.beijing.gov.cn/zhengce/zcjd/202312/t20231222_3508548.html,政府网站
北京,北京市,提取,购房一次性提取,支持,购买京内自住住房可申请提取，夫妻合计提取额不超过购房款总额即可，不划分各自限额；可自填金额一次性提取，也可约定按月、按季、半年或一年到账。,,
北京,北京市,提取,租房提取限额,支持,未提供租房发票的每人每月2000元；提供发票且合同备案的商品住房按实际月租金与本人月缴存额双限孰低提取；保租房、公租房按实际月租金提取；账户余额须保留10元。,,
北京,北京市,提取,多孩租房上浮,支持,多子女家庭（至少一个未成年子女的二孩及以上家庭）租住商品住房且合同备案的，按实际月租金提取，不再适用月租金与月缴存额双限规则。,,
北京,北京市,提取,加装电梯提取,支持,多层住宅增设电梯属老旧小区楼本体改造项目，产权人或已签购房协议的公房承租人及其配偶、父母、子女可提取，限额为其分摊的改造成本实际出资额且不超过账户余额。,,
北京,北京市,提取,车位购置提取,不支持,北京住房公积金共14个提取事项，不含购买车位、车库；2025年8月及2026年8月两次房地产新政亦未将车位纳入（同期上海已纳入）。,,
北京,北京市,提取,大病救助提取,有条件支持,须属本人、配偶或直系血亲患重大疾病等突发事件并造成家庭日常基本生活困难方可提取，提取额不超过医药费个人负担部分 依京房公积金政法〔2006〕2号，家庭成员患恶性肿瘤等9类重大疾病可提取，限额为医药费个人负担部分；现行14个提取事项未单列此项。,,
北京,北京市,提取,既提又贷,支持,京建发〔2025〕360号明确支持缴存人在提取公积金支付购房首付款的同时申请公积金贷款；买新建住房已签合同的凭网签编号提取首付并同步申贷。,,
