城市,2024提取额(亿元),2025提取额(亿元),提取额同比,提取额增减,2024发放贷款(亿元),2025发放贷款(亿元),发放贷款同比,发放贷款增减,数据来源名称,来源类型,取数方式,原文链接,备注
上海,1693.9,1842.64,+8.78%,+148.74 亿元,951.23,869.6,-8.58%,-81.63 亿元,上海市住房公积金2024年年度报告,政府网站,年报正文,https://www.shzfgjj.cn/html/newxxgk/ndbg/227250.html,
深圳,1036.0,1184.67,+14.35%,+148.67 亿元,382.34,489.03,+27.90%,+106.69 亿元,深圳：2024年发放个人住房公积金贷款4.49万笔、382.34亿元（央广网）,其他媒体,年报正文,https://house.cnr.cn/kcb/20250403/t20250403_527122075.shtml,市政府门户原文链已失效（404），采官方媒体转载；年报核心数据完整
重庆,465.22,459.7,-1.19%,-5.52 亿元,354.73,377.56,+6.44%,+22.83 亿元,重庆市住房公积金2024年年度报告,政府网站,年报正文,https://www.cqgjj.cn/zwgk/gsgg/3198.htm,
佛山,181.91,191.71,+5.39%,+9.80 亿元,28.41,44.57,+56.88%,+16.16 亿元,佛山市住房公积金2024年年度报告,政府网站,年报正文,https://fsgjj.foshan.gov.cn/xxgk/gzdt/content/post_6344659.html,
中山,75.84,76.1,+0.34%,+0.26 亿元,15.63,13.59,-13.05%,-2.04 亿元,中山市住房公积金管理中心2024年年度报告,政府网站,年报正文,https://zszfgjj.zs.gov.cn/zwgk/ndbg/content/post_2499969.html,
清远,47.71,46.14,-3.29%,-1.57 亿元,5.78,7.37,+27.51%,+1.59 亿元,清远政策减负提升职工置业热情（羊城晚报·广东建设报）,其他媒体,年报正文,https://ep.ycwb.com/epaper/gdjs/html/2025-03/14/content_1163_695512.htm,市政府门户触发WAF 405，采省级党报转载；文中明确提取额47.71亿、发放1556笔5.78亿
海口,—,—,—,—,—,—,—,—,,,—,,海南省全省统管，仅设1个法人机构，年报无海口/三亚分市拆分；且该市stats_2025亦为空，无法计算同比
三亚,—,—,—,—,—,—,—,—,,,—,,同海口
南通,181.11,165.05,-8.87%,-16.06 亿元,68.04,62.88,-7.58%,-5.16 亿元,南通市住房公积金2024年年度报告,政府网站,年报正文,https://www.ntgjj.com/NewsDetail.aspx?DetailId=20857458,
徐州,128.76,137.86,+7.07%,+9.10 亿元,76.43,76.51,+0.10%,+0.08 亿元,江苏省住房公积金2024年年度报告（分市表·徐州行）,政府网站,省级年报分市表,https://jsszfhcxjst.jiangsu.gov.cn/module/download/downfile.jsp?classid=0&filename=7875cc286e6146d594c247c931e5e861.pdf,与徐州市公积金中心官网PDF年报附件数值完全一致（128.76/76.43）
盐城,99.82,95.88,-3.95%,-3.94 亿元,51.51,37.92,-26.38%,-13.59 亿元,江苏省住房公积金2024年年度报告（分市表·盐城行）,政府网站,省级年报分市表,https://jsszfhcxjst.jiangsu.gov.cn/module/download/downfile.jsp?classid=0&filename=7875cc286e6146d594c247c931e5e861.pdf,市公积金中心官网为JS空壳，采省级分市表
金华,107.16,111.85,+4.38%,+4.69 亿元,53.85,50.3,-6.59%,-3.55 亿元,金华市住房公积金2024年年度报告,政府网站,年报正文,http://zfgjj.jinhua.gov.cn/col/col1229168257/art/2025/art_1229168257_58719287.html,
衢州,54.09,54.64,+1.02%,+0.55 亿元,32.99,21.92,-33.56%,-11.07 亿元,衢州市住房公积金2024年年度报告（全文，转自衢州日报）,其他媒体,年报正文,https://finance.sina.cn/2025-03-27/detail-ineqzhay5675266.d.html,衢州市公积金中心官网未检索到年报页，采衢州日报全文转载
舟山,35.09,36.46,+3.90%,+1.37 亿元,7.84,10.05,+28.19%,+2.21 亿元,舟山市住房公积金2024年年度报告（舟山日报数字报）,官方媒体,年报正文,https://epaper.wifizs.cn/zsrb/2025-03/25/content_998708.html,
合肥,293.7,291.98,-0.59%,-1.72 亿元,111.76,182.15,+62.98%,+70.39 亿元,合肥市住房公积金2024年年度报告（合肥日报数字报）,官方媒体,年报正文,https://newspaper.hf365.com/hfrb/pc/content/202503/28/content_503151.html,
南昌,165.19,168.23,+1.84%,+3.04 亿元,96.63,99.4,+2.87%,+2.77 亿元,南昌市住房公积金2024年年度报告（南昌公积金官方公众号）,政务新媒体,年报正文,https://mp.weixin.qq.com/s/WU9U6IK-veDkqwMMNc8isw,
九江,45.78,47.18,+3.06%,+1.40 亿元,22.68,18.3,-19.31%,-4.38 亿元,九江市住房公积金2024年年度报告,政府网站,年报正文,https://www.jjszfgjj.cn/ztzl_108401/ndbg/202503/t20250326_6880121.html,
襄阳,53.44,59.76,+11.83%,+6.32 亿元,29.77,31.18,+4.74%,+1.41 亿元,襄阳市住房公积金2024年年度报告,政府网站,年报正文,http://gjj.xiangyang.gov.cn/zwgk/gknb/202503/t20250321_3781562.shtml,
黄冈,40.55,42.14,+3.92%,+1.59 亿元,22.01,15.59,-29.17%,-6.42 亿元,湖北省住房公积金2024年年度报告（分市表·黄冈行）,政府网站,省级年报分市表,http://zjt.hubei.gov.cn/zfxxgk/fdzdgknr/qtzdgknr/zdly/zfgjjjg/202504/P020251215373936334296.pdf,省级表内襄阳行=53.44/29.77，与襄阳市级年报完全吻合，列对齐已验证
衡阳,40.1,37.47,-6.56%,-2.63 亿元,11.11,12.41,+11.70%,+1.30 亿元,湖南省住房公积金2024年年度报告（分市表·衡阳行）,政府网站,省级年报分市表,https://zjt.hunan.gov.cn/zjt/xxgk/xinxigongkaimulu/tjxx/202504/t20250430_33659761.html,hengyang.gov.cn 全站HTTP 412，采省级分市表
娄底,26.61,24.37,-8.42%,-2.24 亿元,7.57,7.26,-4.10%,-0.31 亿元,百亿公积金筑安居梦（娄底日报）,官方媒体,年报正文,https://ldrb.ldnews.cn/2025/05/10/646402.html,ldgjj.com 官网为JS空壳，采娄底日报数字报
安阳,26.57,27.57,+3.76%,+1.00 亿元,18.34,14.11,-23.06%,-4.23 亿元,安阳市住房公积金2024年年度报告（安阳日报数字报PDF）,官方媒体,年报正文,https://www.ayrbs.com/szb/pc/attachment/202503/28/1e1edb5b-c390-40c2-b6f8-b32bdfd54b2f.pdf,
成都,693.19,709.68,+2.38%,+16.49 亿元,256.5,411.84,+60.56%,+155.34 亿元,成都住房公积金2024年年度报告（中国建设新闻网）,官方媒体,年报正文,http://www.chinajsb.cn/html/202503/28/47659.html,与四川省住建厅省级年报分市表成都行完全一致（693.19/256.50）
泸州,39.32,40.32,+2.54%,+1.00 亿元,17.15,15.59,-9.10%,-1.56 亿元,泸州市住房公积金2024年年度报告,政府网站,年报正文,https://zfgjj.luzhou.cn/zwgk/xxgknb/content_25206,
